Name,Address,City,Country,Beds,Trauma,Phone
Schoolcraft Memorial Hospital,500 Main St,Manistique,USA,25,General Medical,NOT AVAILABLE
Chippewa County War Memorial Hospital,500 Osborn Blvd,Sault Sainte Marie,USA,82,General Medical,NOT AVAILABLE
Munson Medical Center,1105 Sixth Street,Traverse City,USA,377,Covid,NOT AVAILABLE
Munson Healthcare Grayling,1100 E Michigan Ave,Grayling,USA,71,General Medical,NOT AVAILABLE
St Mary'S Of Michigan-Towne Ctr,4599 Towne Centre Rd,Saginaw,USA,1001,General Medical,(989) 497-3000
Illinois Valley Community Hospital,925 West St,Peru,USA,56,General Medical,(815) 223-3300
Bon Secours Hospital,2000 W Baltimore Street,Baltimore,USA,125,General Medical,(410) 362-3000
Medstar Harbor Hospital,3001 S Hanover Street,Baltimore,USA,179,General Medical,(410) 350-3201
University Of Maryland Medical Center,22 S Greene St,Baltimore,USA,800,Parc,(410) 328-8667
Johns Hopkins Bayview Medical Center,4940 Eastern Avenue,Baltimore,USA,477,Covid,(410) 550-0123
Portsmouth Regional Hospital,333 Borthwick Ave,Portsmouth,USA,209,Children Specialists,(603) 436-5110
Smokey Point Behaivoral Hospital,3955 156th St Ne,Marysville,USA,115,General Medical,(844) 202-5555
Healthsouth Rehabilitation Hospital,7000 Jefferson Street Northeast,Albuquerque,USA,87,General Medical,(505) 344-9478
Lovelace Medical Center,601 Doctor Martin Luther King Junior Avenue Northeast,Albuquerque,USA,263,General Medical,(505) 727-8000
Schuyler Hospital,220 Steuben St,Montour Falls,USA,25,General Medical,(607) 535-7121
Guthrie Corning Hospital,176 Denison Parkway East,Corning,USA,99,General Medical,(607) 937-7200
Genoa Community Hospital,606/706 Ewing Ave,Genoa,USA,19,Breast Cancer,(402) 993-2283
Wellmont Ridgeview Pavilion,103 North Street,Bristol,USA,28,General Medical,(423) 844-6012
Chi Health Good Samaritan,10 East 31st St,Kearney,USA,172,Covid,(308) 865-7100
Breckinridge Memorial Hospital,1011 Old Hwy 60,Hardinsburg,USA,25,General Medical,(270) 756-7000
Mayo Clinic Health Sys Waseca,501 North State Street,Waseca,USA,35,Pneumonia,(507) 835-1210
St Josephs Hospital,45 W 10th Street,St Paul,USA,401,Pneumonia,(651) 232-7707
University Of Mn Med Ctr,2450 Riverside Avenue,Minneapolis,USA,825,Children Specialists,(612) 273-3000
Morris Village,610 Faison Dr,Columbia,USA,174,General Medical,(803) 935-7100
Chi Health Richard Young Behavioral Health,1755 Prairie View Pl,Kearney,USA,61,General Medical,(308) 865-2000
Veterans Health Care System Of The Ozarks,1100 North College Avenue,Fayetteville,USA,1001,General Medical,(479) 443-4301
Fhn Memorial Hospital,1045 West Stephenson Street,Freeport,USA,100,General Medical,(815) 235-4131
Logan Memorial Hospital,1625 Nashville Street,Russellville,USA,75,General Medical,(270) 726-4011
Eastern Niagara Hospital,521 East Ave,Lockport,USA,140,General Medical,(716) 514-5700
Niagara Falls Memorial Medical Center,621 10th St,Niagara Falls,USA,171,General Medical,(716) 278-4000
Mcleod Medical Center-Dillon,301 E Jackson St,Dillon,USA,79,General Medical,(843) 774-4111
Tennova Healthcare - Cleveland,2800 Westside Drive,Cleveland,USA,208,General Medical,(423) 339-4132
Baylor Surgical Hospital At Fort Worth,750 12th Avenue,Fort Worth,USA,34,General Medical,(682) 703-5600
Kane County Hospital,355 North Main Street,Kanab,USA,1001,General Medical,(435) 644-5811
Jonathan M. Wainwright Memorial Va Medical Center,77 Wainwright Drive,Walla Walla,USA,102,General Medical,(509) 525-5200
Mount Washington Pediatric Hospital,1708 W Rogers Ave,Baltimore,USA,61,General Medical,(410) 578-5050
St. James Mercy Health System,411 Canisteo St,Hornell,USA,15,General Medical,(607) 324-8000
Alexandria Va Health Care System,2495 Shreveport Highway,Pineville,USA,1001,General Medical,(318) 466-4000
John L Mcclellan Memorial Veterans Hospital,4300 West 7th Street,Little Rock,USA,1001,General Medical,(501) 257-1000
St Francis Hospital,1215 Franciscan Dr,Litchfield,USA,25,General Medical,(217) 324-2191
Wabash General Hospital,1418 College Drive,Mount Carmel,USA,25,General Medical,(618) 262-8621
Osf Holy Family Medical Center,1000 W Harlem Avenue,Monmouth,USA,23,General Medical,(309) 734-3141
Morrison Community Hospital,303 N Jackson Street,Morrison,USA,36,General Medical,(815) 772-4003
Franklin Hospital,201 Bailey Lane,Benton,USA,25,General Medical,(618) 439-3761
Whittier Rehabilitation Hospital,150 Flanders Rd,Westborough,USA,88,General Medical,(508) 870-2222
Whittier Rehabilitation Hospital Bradford,145 Ward Hill Ave,Haverhill,USA,60,General Medical,(978) 372-8000
Worcester Recovery Center And Hospital,309 Belmont Street,Worcester,USA,166,General Medical,(508) 752-4681
Hallmark Health System - Lawrence Memorial Hospital Campus,170 Governors Avenue,Medford,USA,98,General Medical,(781) 306-6000
Cape Cod Hospital,27 Park Street,Barnstable,USA,252,General Medical,(508) 771-1800
Nashoba Valley Medical Center,200 Groton Road,Ayer,USA,77,General Medical,(978) 784-9000
Sturdy Memorial Hospital,211 Park Street,Attleboro,USA,132,General Medical,(508) 236-8000
Winchester Hospital,41 Highland Avenue,Winchester,USA,189,General Medical,(781) 729-9000
Northport Medical Center,2700 Hospital Drive,Northport,USA,204,General Medical,(205) 759-7964
Apollo Behavioral Health Hospital,"7414 Sumrall Drive,Suite C",Baton Rouge,USA,1001,General Medical,(225) 663-2881
Beacon Behavioral Hospital,2471 Louisiana Ave,Lutcher,USA,1001,General Medical,(225) 258-6103
Charity Hospital And Medical Center Of La. At New Orleans,2021 Perdido St.,New Orleans,USA,1001,General Medical,(504) 903-3000
Cornerstone Hospital Of Southwest Louisiana,703 Cypress Street,Sulphur,USA,1001,General Medical,(337) 310-6001
Feliciana-Amg Specialty Hospital,"9725 Grace Lane,Bldg B",Clinton,USA,16,General Medical,(225) 683-1600
Allegiance Behavioral Health Center Of Plainview,"2601 Dimmit Road,Fourth Floor",Plainview,USA,20,General Medical,(806) 296-9191
Rusk State Hospital,805 North Dickinson Drive,Rusk,USA,330,General Medical,NOT AVAILABLE
Saint Anthony Medical Center,5666 East State Street,Rockford,USA,235,"Level I, Pediatric Ii",(815) 226-2000
Wentworth-Douglass Hospital,789 Central Avenue,Dover,USA,178,Covid,(603) 742-5252
Crotched Mountain Rehabilitation Center,1 Verney Drive,Greenfield,USA,62,General Medical,(603) 547-3311
St Joseph Hospital,172 Kinsley St,Nashua,USA,208,Covid,(603) 882-3000
Elliot Hospital City Of Manchester,One Elliot Way,Manchester,USA,296,Covid,(603) 669-5300
Concord Hospital,250 Pleasant Street,Concord,USA,295,Children Specialists,(603) 227-7000
Huron Medical Center,1100 South Van Dyke Road,Bad Axe,USA,48,General Medical,NOT AVAILABLE
St Elizabeths Medical Center,1200 Grant Boulevard West,Wabasha,USA,25,Pneumonia,(651) 565-4531
University Hospital Mcduffie,2460 Washington Road,Thomson,USA,47,General Medical,(706) 595-1411
Fall River Health Services,209 North 16th Street,Hot Springs,USA,25,General Medical,(605) 745-3159
Mercy Health Muskegon Sherman Blvd,1500 E Sherman Boulevard,Muskegon,USA,196,General Medical,NOT AVAILABLE
York Hospital,15 Hospital Drive,York,USA,79,General Medical,(207) 363-4321
Sanford Aberdeen Medical Center,2905 3rd Ave Se,Aberdeen,USA,48,Cth,(605) 626-4200
Wellstar Paulding Hospital,2518 Jimmy Lee Smith Parkway,Hiram,USA,83,General Medical,(470) 644-7000
Drug Rehabilitation Incorporated - Day One Residence,408 Bar Mills Road,Hollis Center,USA,1001,General Medical,(207) 929-5166
Milestone Foundation - Extended Care,28 Portland Avenue,Old Orchard Beach,USA,16,General Medical,(207) 934-5231
Munson Healthcare Manistee Hospital,1465 E Parkdale Avenue,Manistee,USA,45,General Medical,NOT AVAILABLE
Tufts Medical Center,800 Washington Street,Boston,USA,415,Cancer Specialists,(617) 636-5000
Murray Calloway County Hospital,803 Poplar Street,Murray,USA,152,General Medical,(270) 762-1100
Baptist Health Paducah,2501 Kentucky Avenue,Paducah,USA,349,General Medical,(270) 575-2100
Delta Memorial Hospital,811 Highway 65 South,Dumas,USA,25,General Medical,(870) 382-4303
De Queen Medical Center,1306 West Collin Raye Drive,De Queen,USA,35,General Medical,(870) 642-7572
Nocona General Hospital,100 Park Road,Nocona,USA,38,Breast Cancer,(940) 825-3235
Medical Center Hospital,500 West 4th Street,Odessa,USA,402,Covid,(432) 640-2413
Pekin Memorial Hospital,600 South 13th Street,Pekin,USA,125,General Medical,(309) 347-1151
Taylorville Memorial Hospital,201 East Pleasant Street,Taylorville,USA,45,General Medical,(217) 824-3331
East Texas Medical Center Mount Vernon,500 Texas 37,Mount Vernon,USA,49,General Medical,NOT AVAILABLE
Va Medical Center - Canandaigua,400 Fort Hill Ave,Canandaigua,USA,1001,General Medical,NOT AVAILABLE
Hospital For Sick Children,"1731 Bunker Hill Road, Ne",Washington,USA,130,General Medical,(202) 832-4400
Uc San Diego Health Hillcrest - Hillcrest Medical Center,200 West Arbor Drive,San Diego,USA,390,I,NOT AVAILABLE
Chi St Lukes Health Memorial Lufkin,1201 West Frank Avenue,Lufkin,USA,271,Breast Cancer,(936) 634-8111
Healthsouth Rehabilitation Hospital Of Franklin,1000 Physicians Way,Franklin,USA,40,General Medical,(615) 721-4000
Saint Thomas Midtown Hospital,2000 Church Street,Nashville,USA,683,General Medical,(615) 284-5555
Select Specialty Hospital - North Knoxville,"7557b Dannaher Drive,Suite 145",Powell,USA,33,General Medical,(865) 512-2450
Children'S National Emergency Department At United Medical Center,"1310 Southern Avenue, Se",Washington,USA,234,General Medical,(202) 574-6000
"Laguna Treatment Hospital, Llc",24552 Pacific Park Drive,Aliso Viejo,USA,93,General Medical,NOT AVAILABLE
Summit Park Hospital & Nursing Care Center,50 Sanatorium Road,Pomona,USA,378,General Medical,(845) 364-2150
Select Specialty Hospital - Battle Creek,"300 North Avenue,6th Floor",Battle Creek,USA,25,General Medical,NOT AVAILABLE
Saint Clare'S Hospital,915 East 5th Street,Alton,USA,1001,General Medical,(618) 463-5150
Odessa Regional Medical Center South Campus,900 East 4th Street,Odessa,USA,14,General Medical,(432) 582-8000
Paris Regional Medical Center - South Campus,820 Clarksville Street,Paris,USA,214,General Medical,(903) 785-4521
Ellenville Regional Hospital,10 Healthy Way,Ellenville,USA,25,General Medical,(845) 647-6400
Newark-Wayne Community Hospital,111 Driving Park Ave,Newark,USA,120,General Medical,(315) 332-2022
Kiowa County Memorial Hospital,721 West Kansas,Greensburg,USA,15,General Medical,(620) 723-3341
Medical Center At Elizabeth Place,One Elizabeth Place,Dayton,USA,26,General Medical,(937) 223-6237
Augusta Medical Center,78 Medical Center Drive,Fishersville,USA,255,General Medical,(540) 332-4000
St Elizabeth Boardman Health Center,8401 Market Street,Boardman,USA,246,General Medical,(330) 729-2929
Southeast Rehabilitation Hospital,2729a Hwy 65 & 82 S,Lake Village,USA,15,General Medical,(870) 265-5343
Bradley County Medical Center,404 South Bradley Street,Warren,USA,35,General Medical,(870) 226-3731
Saline Memorial Hospital,1 Medical Park Drive,Benton,USA,167,General Medical,(501) 776-6000
River Crest Hospital,1636 Hunters Glen Road,San Angelo,USA,80,General Medical,(325) 949-5722
Laurel Ridge Treatment Center,17720 Corporate Woods Drive,San Antonio,USA,208,General Medical,(210) 491-9400
Clarity Child Guidance Center,8535 Tom Slick Drive,San Antonio,USA,66,General Medical,(210) 616-0300
Terrell State Hospital,1200 East Brin Street,Terrell,USA,316,General Medical,NOT AVAILABLE
"Grant-Blackford Mental Health, Inc",505 Wabash Ave,Marion,USA,16,General Medical,(765) 662-3971
Michiana Behavioral Health Center,1800 N Oak Rd,Plymouth,USA,51,General Medical,(574) 936-3784
Parkview Whitley Hospital,1260 E Sr 205,Columbia City,USA,30,General Medical,(260) 248-9301
Community Hospital North,7150 Clearvista Dr,Indianapolis,USA,339,General Medical,(317) 621-5335
Franciscan St Francis Health - Indianapolis,8111 S Emerson Ave,Indianapolis,USA,485,General Medical,(317) 865-5001
Jay County Hospital,500 W Votaw St,Portland,USA,35,General Medical,(260) 726-7131
Community Howard Specialty Hospital,829 N Dixon Rd,Kokomo,USA,30,General Medical,(765) 452-6700
Indiana University Health West Hospital,1111 N Ronald Reagan Pkwy,Avon,USA,127,General Medical,(317) 217-3000
Witham Health Services,2605 N Lebanon St,Lebanon,USA,52,General Medical,(765) 485-8000
The Heart Hospital At Deaconess Gateway Llc,4007 Gateway Blvd,Newburgh,USA,24,General Medical,(812) 842-4784
Healthsouth Rehabilitation Hospital Of Montgomery,4465 Narrow Lane Road,Montgomery,USA,70,General Medical,(334) 284-7700
St. Vincent'S St.Clair,7063 Veterans Parkway,Pell City,USA,40,General Medical,(205) 338-3301
Massachusetts Eye And Ear Infirmary,243 Charles Street,Boston,USA,41,General Medical,(617) 523-7900
St Mary'S Hospital,1300 Massachusetts Ave,Troy,USA,196,General Medical,(518) 268-5000
Samaritan Hospital,2215 Burdett Ave,Troy,USA,212,General Medical,(518) 271-3300
Helen Hayes Hospital,51 North Route 9w,West Harvestraw,USA,130,General Medical,(845) 786-4000
Nyack Hospital,160 N Midland Ave,Nyack,USA,375,Area,(845) 348-2000
Good Samaritan Hospital - Suffern,255 Lafayette Ave,Suffern,USA,286,General Medical,(845) 368-5000
Healthsouth Lakeview Rehabilitation Hospital Of Central Kentucky,134 Heartland Drive,Elizabethtown,USA,40,General Medical,(270) 769-3100
Massena Memorial Hospital,1 Hospital Dr,Massena,USA,50,General Medical,(315) 764-1711
Highland Park Hospital,777 Park Avenue West,Highland Park,USA,1001,Covid,(847) 432-8000
Advocate Good Shepherd Hospital,450 West Highway 22,Barrington,USA,169,Covid,(847) 381-9600
Midwestern Region Med Center,2520 Elisha Avenue,Zion,USA,73,General Medical,(847) 872-4561
Providence - Park Hospital,47601 Grand River Ave,Novi,USA,244,General Medical,(248) 465-4210
Select Specialty Hospital - Macomb County,"215 North Ave,Suite 200",Mount Clemens,USA,30,General Medical,NOT AVAILABLE
Select Specialty Hospital - Muskegon,"1700 Clinton Street,2 And 3 S Floors",Muskegon,USA,31,General Medical,NOT AVAILABLE
Henry Ford Allegiance Carelink,110 N Elm Avenue,Jackson,USA,64,General Medical,NOT AVAILABLE
Borgess Pipp Hospital,411 Naomi Street,Plainwell,USA,43,General Medical,NOT AVAILABLE
Kindred Hospital Detroit,4777 E Outer Drive,Detroit,USA,77,General Medical,NOT AVAILABLE
St. Jude Children'S Research Hospital,262 Danny Thomas Places,Memphis,USA,80,General Medical,(901) 595-3301
Three Rivers Hospital,451 Highway 13 South,Waverly,USA,25,General Medical,(931) 296-4203
Saddleback Memorial Medical Center - San Clemente,654 Camino De Los Mares,San Clemente,USA,73,General Medical,NOT AVAILABLE
"Marian Regional Medical Center, Arroyo Grande",345 South Halcyon Road,Arroyo Grande,USA,67,General Medical,NOT AVAILABLE
Kentfield Hospital San Francisco,450 Stanyan St.,San Francisco,USA,60,General Medical,NOT AVAILABLE
Pioneer Community Hospital,18688 Jeb Stuart Highway,Stuart,USA,25,General Medical,(276) 694-8680
Covington Behavioral Health,201 Greenbriar Blvd,Covington,USA,40,General Medical,(985) 224-4135
Exeter Hospital,5 Alumni Drive,Exeter,USA,100,General Medical,(603) 778-7311
Frisbie Memorial Hospital,11 Whitehall Road,Rochester,USA,112,General Medical,(603) 332-5211
Avera Behavioral Health Center,4400 West 69th Street,Sioux Falls,USA,54,General Medical,(605) 322-4065
Harlan Arh Hospital,81 Ball Park Road,Harlan,USA,150,Breast Cancer,(606) 573-8100
Canton-Potsdam Hospital,50 Leroy St,Potsdam,USA,94,Provisional Level Iii,(315) 265-3300
Advocate Condell Medical Center,801 S Milwaukee Ave,Libertyville,USA,279,Cancer Specialists,(847) 990-5200
Vista Medical Center West,2615 Washington St,Waukegan,USA,67,General Medical,(847) 249-3900
Select Specialty Hospital - Northwest Detroit,"6071 West Outer Drive,7th Floor",Detroit,USA,36,General Medical,NOT AVAILABLE
Edward John Noble Hospital Of Gouverneur,77 W Barney St,Gouverneur,USA,25,General Medical,(315) 287-1000
Select Specialty Hospital,800 East 21st Street,Sioux Falls,USA,24,General Medical,(605) 322-3300
Drew Memorial Hospital,778 Scogin Drive,Monticello,USA,49,General Medical,(870) 367-2411
St. Bernards Behavioral Health,2712 East Johnson Avenue,Jonesboro,USA,60,General Medical,(870) 932-2800
De Witt Hospital & Nursing Home,1641 South Whitehead Drive,De Witt,USA,25,General Medical,(870) 946-3571
New England Baptist Hospital,125 Parker Hill Avenue,Boston,USA,118,General Medical,(617) 754-5800
Adak Medical Center - Eat,Po Box 2105,Adak,USA,1001,General Medical,(907) 592-8383
William N Wishard Memorial Hospital,1001 W 10th St,Indianapolis,USA,1001,General Medical,(317) 630-7592
Springs Memorial Hospital,800 W Meeting St,Lancaster,USA,211,General Medical,(803) 286-1481
Meadville Medical Center,751 Liberty Street,Meadville,USA,217,General Medical,(814) 333-5000
Acmh Hospital,One Nolte Drive,Kittanning,USA,155,General Medical,(724) 543-8500
Select Specialty Hospital Pittsbrgh Upmc,200 Lothrop Street,Pittsburgh,USA,32,General Medical,(412) 586-9819
Gibson Community Hospital,1120 N Melvin Street,Gibson City,USA,67,General Medical,(217) 784-4251
Healtheast St Johns Hospital,1575 Beam Avenue,St Paul,USA,192,General Medical,(651) 232-7000
Bhc Fairfax Hospital,10200 Ne 132nd St,Kirkland,USA,95,General Medical,(425) 821-2000
Temple University-Episcopal Hosp-Er,100 E Lehigh Ave,Philadelphia,USA,21,General Medical,(215) 707-0800
Central State Hospital,26317 West Washington Street,Petersburg,USA,1001,General Medical,(804) 524-7000
Kempsville Center For Behavioral Health,860 Kempsville Road,Norfolk,USA,82,General Medical,(757) 461-4565
Jerold Phelps Community Hospital,733 Cedar Street,Garberville,USA,17,General Medical,NOT AVAILABLE
Sempervirens P.H.F.,720 Wood Street,Eureka,USA,16,General Medical,NOT AVAILABLE
Pikes Peak Regional Hospital,16420 Highway 24,Woodland Park,USA,15,General Medical,(719) 687-9999
Mammoth Hospital,85 Sierra Park Road,Mammoth Lakes,USA,17,General Medical,NOT AVAILABLE
Colorado Mental Health Institute At Ft Logan,3520 W Oxford Ave,Denver,USA,297,General Medical,(303) 866-7066
Halifax Psychiatric Center-North,841 Jimmy Ann Dr,Daytona Beach,USA,30,General Medical,(386) 274-5333
Medical Center Of Trinity West Pasco Cam,5637 Marine Pkwy,New Port Richey,USA,46,General Medical,(727) 834-5927
Heart Of Florida Regional Medical Center,40100 Us Hwy 27 N,Davenport,USA,193,General Medical,(863) 419-2259
Eastern Plumas Hospital-Portola Campus,500 1st Street,Portola,USA,36,General Medical,NOT AVAILABLE
Heritage Oaks Hospital,4250 Auburn Blvd.,Sacramento,USA,125,General Medical,NOT AVAILABLE
Tahoe Forest Hospital,10121 Pine Street Pob 759,Truckee,USA,72,General Medical,NOT AVAILABLE
Healthsouth Tustin Rehabilitation Hospital,14851 Yorba Street,Tustin,USA,48,General Medical,NOT AVAILABLE
Kindred Hospital Brea,875 North Brea Boulevard,Brea,USA,86,General Medical,NOT AVAILABLE
Foothill Regional Medical Center,14662 Newport Avenue,Tustin,USA,177,General Medical,NOT AVAILABLE
Lafayette Surgical Specialty Hospital,1101 Kaliste Saloom Road,Lafayette,USA,1001,General Medical,(337) 769-4100
Lifecare Hospitals Of Shreveport,9320 Linwood Avenue,Shreveport,USA,65,General Medical,(318) 688-8504
Select Specialty Hospital - Saginaw,"1447 N Harrison,7th & 8th Floor",Saginaw,USA,32,General Medical,NOT AVAILABLE
Spectrum Health - Fuller Campus,750 Fuller Ave Ne,Grand Rapids,USA,51,General Medical,NOT AVAILABLE
Healthsource Saginaw,3340 Hospital Road,Saginaw,USA,45,General Medical,NOT AVAILABLE
Community Memorial Hospital,512 Skyline Blvd,Cloquet,USA,36,Pneumonia,(218) 879-4641
Brighton Hospital,12851 E Grand River,Brighton,USA,41,General Medical,NOT AVAILABLE
Southeast Michigan Surgical Hospital,21230 Dequindre Road,Warren,USA,20,General Medical,NOT AVAILABLE
Albany Area Hospital & Med Ctr,300 Third Avenue,Albany,USA,17,General Medical,(320) 845-2120
Toppenish Community Hospital,502 W 4th Ave,Toppenish,USA,63,Breast Cancer,(509) 865-3105
Bath County Community Hospital,106 Park Lane,Hot Springs,USA,25,General Medical,(540) 839-7000
Rockingham Memorial Hospital,235 Cantrell Avenue,Harrisonburg,USA,270,General Medical,(540) 689-1000
Us Air Force Hospital 92nd Medical Group,701 Hospital Loop,Fairchild Air Force,USA,48,General Medical,(509) 247-2361
Valley Hospital And Medical Center,12606 Mission Ave E,Spokane,USA,123,Lung Cancer,(509) 924-6650
Unicoi County Memorial Hospital,100 Greenway Circle,Erwin,USA,83,General Medical,(423) 743-3141
Dayton General Hospital,1012 S 3rd St,Dayton,USA,25,Level V,(509) 382-2531
Peacehealth St John Medical Center - Broadway Campus,600 Broadway,Longview,USA,1001,General Medical,(360) 414-2236
Winona Health Services,855 Mankato Avenue,Winona,USA,99,Pneumonia,(507) 454-3650
Select Specialty Hospital - Grosse Pointe,"22101 Moross Rd,6th Floor",Detroit,USA,30,General Medical,NOT AVAILABLE
Saratoga Hospital,211 Church St,Saratoga,USA,171,General Medical,(518) 587-3222
Cobleskill Regional Hospital,178 Grandview Dr,Cobleskill,USA,40,General Medical,(518) 234-2511
Select Specialty Hospital - Pontiac,"44405 Woodward Avenue,8th Floor",Pontiac,USA,30,General Medical,NOT AVAILABLE
Lakeland Specialty Hospital At Berrien Center,6418 Deans Hill Rd,Berrien Center,USA,183,General Medical,NOT AVAILABLE
Kirkland Correctional Institution Infirmary,4344 Broad River Rd,Columbia,USA,24,General Medical,(803) 896-8567
Newberry County Memorial Hospital,2669 Kinard St,Newberry,USA,90,General Medical,(803) 276-7570
Palmetto Health Baptist Parkridge,400 Palmetto Health Pkwy,Columbia,USA,76,General Medical,(803) 907-7011
Spartanburg Hospital For Restorative Care,389 Serpentine Dr,Spartanburg,USA,97,General Medical,(864) 560-3263
Ralph H Johnson Veterans Affairs Medical Center,109 Bee St,Charleston,USA,98,General Medical,(843) 577-5011
Lighthouse Care Center Of Conway Acute Care,152 Waccamaw Medical Park Dr,Conway,USA,87,General Medical,(843) 347-8871
Cardinal Hill Rehabilitation Hospital,2050 Versailles Road,Lexington,USA,158,General Medical,(859) 254-5701
Evanston Hospital,2650 Ridge Avenue,Evanston,USA,690,Cancer Specialists,(847) 570-2000
Southampton Hospital,240 Meeting House Lane,Southampton,USA,125,Provisional Level Iii,(516) 726-8200
Southside Hospital,301 E Main St,Bay Shore,USA,321,Children Specialists,(631) 968-3000
Jacobi Medical Center,1400 Pelham Parkway South,Bronx,USA,457,I,(212) 430-5235
Good Samaritan Hospital - West Islip,1000 Montauk Highway,West Islip,USA,437,Children Specialists,(631) 376-3000
Riverside Doctors' Hospital Williamsburg,1500 Commonwealth Avenue,Williamsburg,USA,40,General Medical,(757) 585-2200
Commonwealth Center For Children And Adolescents,1355 Richmond Rd,Staunton,USA,1001,General Medical,(540) 332-2100
Eastern State Hospital,4601 Ironbound Road,Williamsburg,USA,300,General Medical,(757) 253-5161
Piedmont Geriatric Hospital,5001 E. Patrick Henry Highway,Burkeville,USA,123,General Medical,(434) 767-4401
Mount Ascutney Hospital & Health Center,289 County Rd,Windsor,USA,35,General Medical,(802) 674-6711
Brattleboro Memorial Hospital,17 Belmont Ave,Brattleboro,USA,61,General Medical,(802) 257-0341
Carilion Roanoke Community Hospital,101 Elm Avenue Se,Roanoke,USA,197,General Medical,(540) 981-7750
Bolivar General Hospital,650 Nuckolls Road,Bolivar,USA,51,General Medical,(731) 658-3100
Medstar Southern Maryland Hospital Center,7503 Surratts Road,Clinton,USA,192,General Medical,(301) 868-8000
The Acadia Hospital,268 Stillwater Avenue,Bangor,USA,100,General Medical,(207) 973-6100
Henrietta D Goodall Hospital,25 June Street,Sanford,USA,49,General Medical,(207) 324-4310
Kidspeace National Centers Of New England,16 Kidspeace Way,Ellsworth,USA,1001,General Medical,(207) 667-0909
Mainegeneral Medical Center-Thayer,149 North Street,Waterville,USA,127,General Medical,(207) 872-1000
Saint Andrews Hospital And Healthcare Center,6 Saint Andrews Lane,Boothbay Harbor,USA,52,General Medical,(207) 633-2121
Angel Medical Center,120 Riverview Street,Franklin,USA,59,General Medical,(828) 524-8411
Highlands-Cashiers Hospital,190 Hospital Drive,Highlands,USA,24,General Medical,(828) 526-1200
Vaughan Regional Medical Center-Parkway Campus,1015 Medical Center Parkway,Selma,USA,175,General Medical,(334) 418-4190
Community Hospital Monterey Peninsula,23625 W. R. Holman Highway,Monterey,USA,258,General Medical,NOT AVAILABLE
Sierra Nevada Memorial Hospital,155 Glasson Way,Grass Valley,USA,104,General Medical,NOT AVAILABLE
Ahmc Anaheim Regional Medical Center,1111 West La Palma Avenue,Anaheim,USA,223,General Medical,NOT AVAILABLE
South Coast Global Medical Center,2701 Bristol Street,Santa Ana,USA,178,General Medical,NOT AVAILABLE
Hoag Orthopedic Institute,16250 Sand Canyon Avenue,Irvine,USA,70,General Medical,NOT AVAILABLE
Lower Conee Community Hospital,111 Third Street,Glenwood,USA,25,General Medical,NOT AVAILABLE
Gordon Hospital,1035 Red Bud Road,Calhoun,USA,80,General Medical,NOT AVAILABLE
Saint Josephs Hospital Of Atlanta,5665 Peachtree Dunwoody Rd Ne,Sandy Springs,USA,258,General Medical,NOT AVAILABLE
Elkhart General Hospital,600 East Blvd,Elkhart,USA,270,General Medical,(574) 294-2621
Indiana University Health Morgan Hospital Inc,2209 John R Wooden Dr,Martinsville,USA,92,General Medical,(765) 349-6938
Dignity Health - Arizona General Hospital,7171 South 51st Avenue,Laveen,USA,16,General Medical,(623) 584-5100
Tmc Healthcare Center For Geropsych,"2221 North Rosemont Boulevard,Bldg 3, Suite 200",Tucson,USA,16,General Medical,(520) 324-1027
North Star Hospital - Bragaw Campus,1650 Bragaw Street,Anchorage,USA,1001,General Medical,(907) 258-7575
North Star Hospital - Debarr Campus,2530 Debarr Road,Anchorage,USA,200,General Medical,(907) 258-7575
Sacramento County Mental Health Treatment Center,2150 Stockton Boulevard,Sacramento,USA,50,General Medical,NOT AVAILABLE
Sierra Vista Hospital,8001 Bruceville Road,Sacramento,USA,120,General Medical,NOT AVAILABLE
Avera Sacred Heart Hospital,501 Summit Street,Yankton,USA,99,Ath,(605) 668-8000
Avera Queen Of Peace Hospital,525 North Foster Street,Mitchell,USA,67,Cth,(605) 995-2000
Health Alliance Hospital - Burbank Campus,275 Nichols Road,Fitchburg,USA,110,General Medical,NOT AVAILABLE
Milford Regional Medical Center,14 Prospect Street,Milford,USA,145,General Medical,(508) 473-1190
Faulkner Hospital,1153 Centre Street,Boston,USA,150,General Medical,(617) 522-5800
Prairie Lakes Hospital,401 9th Avenue Northwest,Watertown,USA,81,Cth,(605) 882-7000
Emerson Hospital,133 Old Road To Nine Acre Corner,Concord,USA,150,General Medical,NOT AVAILABLE
Select Specialty Hospital - Spectrum Health,"1840 Wealthy Street Se,5th Floor",Grand Rapids,USA,36,General Medical,NOT AVAILABLE
Henrico Doctors' Hospital - Parham,7700 East Parham Road,Richmond,USA,200,General Medical,(804) 747-5600
Healthsouth Rehabiliation Hospital Of Fredericksburg,300 Park Hill Drive,Fredericksburg,USA,52,General Medical,(540) 368-7325
Sunnyside Community Hospital,1016 Tacoma Avenue,Sunnyside,USA,25,Breast Cancer,(509) 837-1500
Summit Pacific Medical Center,600 E Main St,Elma,USA,25,Breast Cancer,(360) 346-2222
Ferry County Memorial Hospital,36 North Klondike Road,Republic,USA,25,Level V,(509) 775-3333
Kershawhealth,1315 Roberts St,Camden,USA,121,General Medical,(803) 432-4311
Union Medical Center,322 W South St,Union,USA,143,General Medical,(864) 427-0351
